asin,old_price,price,change,old_seller,num_of_seller,url,name
1988884047,69.95,69.95,,17,17,https://www.amazon.com/dp/1988884047,Roxley Games Brass Birmingham Board Games
B01LZXVN4P,100.8,100.8,,56,55,https://www.amazon.com/dp/B01LZXVN4P,Gloomhaven
B000809OAO,50.0,48.0,-2.0,45,45,https://www.amazon.com/dp/B000809OAO,Ticket To Ride - Europe
